name,molecule,ksize,sigma,expected_collisions,n_unique_kmers,n_theoretical_kmers_log10,n_unique_kmers_log10,unique_over_theoretical_log10
tupaia_chinensis,dayhoff6,17,6,6.506572676921478e-10,506371,13.228571256521942,5.7044688255625875,-7.5241024309593545
tupaia_chinensis,protein20,8,20,7.144468364402314e-10,518316,10.40823996531185,5.714594615369453,-4.693645349942397
camelus_bactrianus,dayhoff6,17,6,2.747611274116868e-21,724,13.228571256521942,2.859738566197147,-10.368832690324794
camelus_bactrianus,protein20,8,20,3.1979552873277986e-21,752,10.40823996531185,2.876217840591642,-7.532022124720208
mus_musculus,dayhoff6,17,6,7.880357034011706e-06,5443866,13.228571256521942,6.735907426564948,-6.492663829956994
mus_musculus,protein20,8,20,8.231360554020405e-06,5505061,10.40823996531185,6.740762135626866,-3.6674778296849837
lipotes_vexillifer,dayhoff6,17,6,1.911688625877264e-19,2091,13.228571256521942,3.3203540328176717,-9.90821722370427
lipotes_vexillifer,protein20,8,20,2.1889059545895806e-19,2163,10.40823996531185,3.3350565194390915,-7.0731834458727585
capra_hircus,dayhoff6,17,6,3.2812572927263166e-13,75724,13.228571256521942,4.879233546813747,-8.349337709708195
capra_hircus,protein20,8,20,3.5859623378039573e-13,77413,10.40823996531185,4.888813898075463,-5.519426067236387
rhinolophus_sinicus,dayhoff6,17,6,6.246087571163623e-21,889,13.228571256521942,2.9489017609702137,-10.279669495551728
rhinolophus_sinicus,protein20,8,20,6.5028894589655395e-21,898,10.40823996531185,2.9532763366673045,-7.4549636286445455
ceratotherium_simum_simum,dayhoff6,17,6,5.062511947517623e-24,150,13.228571256521942,2.1760912590556813,-11.05247999746626
ceratotherium_simum_simum,protein20,8,20,6.391304693465727e-24,159,10.40823996531185,2.2013971243204513,-8.2068428409914
nannospalax_galili,dayhoff6,17,6,1.925671428436549e-20,1178,13.228571256521942,3.0711452904510828,-10.157425966070859
nannospalax_galili,protein20,8,20,2.1083815764011168e-20,1205,10.40823996531185,3.080987046910887,-7.327252918400963
homo_sapiens,dayhoff6,17,6,7.852378862380147e-06,5439082,13.228571256521942,6.735525606320056,-6.493045650201886
homo_sapiens,protein20,8,20,8.19400130714631e-06,5498718,10.40823996531185,6.740261447598903,-3.667978517712947
erinaceus_europaeus,dayhoff6,17,6,7.888326236760549e-06,5445706,13.228571256521942,6.73605419116769,-6.492517065354252
erinaceus_europaeus,protein20,8,20,8.199258743515133e-06,5499456,10.40823996531185,6.740319731697358,-3.667920233614492
peromyscus_maniculatus_bairdii,dayhoff6,17,6,2.690426411900713e-22,405,13.228571256521942,2.6074550232146687,-10.621116233307273
peromyscus_maniculatus_bairdii,protein20,8,20,2.937665814485187e-22,414,10.40823996531185,2.617000341120899,-7.7912396241909505
macaca_mulatta,dayhoff6,17,6,4.616362681318625e-07,2641140,13.228571256521942,6.421791422644251,-6.806779833877691
macaca_mulatta,protein20,8,20,4.924858758554644e-07,2684633,10.40823996531185,6.4288849243116575,-3.9793550410001925
aotus_nancymaae,dayhoff6,17,6,1.343058637394534e-06,3463840,13.228571256521942,6.539557823090708,-6.689013433431234
aotus_nancymaae,protein20,8,20,1.421344308969828e-06,3513425,10.40823996531185,6.545730687221809,-3.862509278090041
phascolarctos_cinereus,dayhoff6,17,6,2.6167925216474464e-18,4022,13.228571256521942,3.6044420662607233,-9.624129190261218
phascolarctos_cinereus,protein20,8,20,2.757474324039895e-18,4075,10.40823996531185,3.6101276130759956,-6.798112352235854
chinchilla_lanigera,dayhoff6,17,6,7.480537754053476e-21,930,13.228571256521942,2.9684829485539352,-10.260088307968006
chinchilla_lanigera,protein20,8,20,8.387813703232823e-21,957,10.40823996531185,2.9809119377768436,-7.427328027535006
sorex_araneus,dayhoff6,17,6,5.209894507217045e-16,15108,13.228571256521942,4.179206976155488,-9.049364280366454
sorex_araneus,protein20,8,20,5.664048233426425e-16,15430,10.40823996531185,4.188365926063148,-6.219874039248702
oryctolagus_cuniculus,dayhoff6,17,6,2.7128924384720415e-07,2308839,13.228571256521942,6.363393649742897,-6.865177606779045
oryctolagus_cuniculus,protein20,8,20,2.891753832895436e-07,2346224,10.40823996531185,6.370369472962767,-4.037870492349083
ornithorhynchus_anatinus,dayhoff6,17,6,1.7304501092232969e-09,647083,13.228571256521942,5.810959990297909,-7.417611266224033
ornithorhynchus_anatinus,protein20,8,20,1.8520193150290298e-09,658167,10.40823996531185,5.818336103304469,-4.589903862007381
