,species,divergence_from_human_mya,peptide_alphabet,peptide_reference,peptide_ksize,peptide_bloom_filter,jaccard_threshold,true_positives,true_negatives,false_positives,false_negatives,precision,recall,F1_score
0,Bos taurus,96.0,dayhoff,Homo sapiens QfO,5,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k5.index,0.5,495,181.0,319,5.0,0.6081081081081081,0.99,0.7534246575342466
1,Bos taurus,96.0,dayhoff,Homo sapiens QfO,7,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k7.index,0.5,495,181.0,319,5.0,0.6081081081081081,0.99,0.7534246575342466
2,Bos taurus,96.0,dayhoff,Homo sapiens QfO,9,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k9.index,0.45,494,194.0,306,6.0,0.6175,0.988,0.76
3,Bos taurus,96.0,dayhoff,Homo sapiens QfO,9,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k9.index,0.5,493,195.0,305,7.0,0.6177944862155389,0.986,0.7596302003081664
4,Bos taurus,96.0,dayhoff,Homo sapiens QfO,9,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k9.index,0.55,492,196.0,304,8.0,0.6180904522613065,0.984,0.7592592592592592
5,Bos taurus,96.0,dayhoff,Homo sapiens QfO,9,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k9.index,0.6,489,204.0,296,11.0,0.6229299363057325,0.978,0.7610894941634241
6,Bos taurus,96.0,dayhoff,Homo sapiens QfO,10,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k10.index,0.45,482,243.0,257,18.0,0.652232746955345,0.964,0.778046811945117
7,Bos taurus,96.0,dayhoff,Homo sapiens QfO,10,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k10.index,0.5,479,262.0,238,21.0,0.6680613668061367,0.958,0.7871815940838126
8,Bos taurus,96.0,dayhoff,Homo sapiens QfO,10,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k10.index,0.55,464,288.0,212,36.0,0.6863905325443787,0.928,0.7891156462585034
9,Bos taurus,96.0,dayhoff,Homo sapiens QfO,10,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k10.index,0.6,451,314.0,186,49.0,0.7080062794348508,0.902,0.793315743183817
10,Bos taurus,96.0,dayhoff,Homo sapiens QfO,11,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k11.index,0.45,420,360.0,140,80.0,0.75,0.84,0.7924528301886793
11,Bos taurus,96.0,dayhoff,Homo sapiens QfO,11,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k11.index,0.5,391,380.0,120,109.0,0.7651663405088063,0.782,0.7734915924826904
12,Bos taurus,96.0,dayhoff,Homo sapiens QfO,11,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k11.index,0.55,365,387.0,113,135.0,0.7635983263598326,0.73,0.7464212678936606
13,Bos taurus,96.0,dayhoff,Homo sapiens QfO,11,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k11.index,0.6,343,414.0,86,157.0,0.7995337995337995,0.686,0.7384284176533907
14,Bos taurus,96.0,dayhoff,Homo sapiens QfO,12,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k12.index,0.45,337,442.0,58,163.0,0.8531645569620253,0.674,0.753072625698324
15,Bos taurus,96.0,dayhoff,Homo sapiens QfO,12,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k12.index,0.5,309,457.0,43,191.0,0.8778409090909091,0.618,0.7253521126760564
16,Bos taurus,96.0,dayhoff,Homo sapiens QfO,12,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k12.index,0.55,296,462.0,38,204.0,0.8862275449101796,0.592,0.709832134292566
17,Bos taurus,96.0,dayhoff,Homo sapiens QfO,12,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k12.index,0.6,264,464.0,36,236.0,0.88,0.528,0.66
18,Bos taurus,96.0,dayhoff,Homo sapiens QfO,13,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k13.index,0.45,286,468.0,32,214.0,0.89937106918239,0.572,0.6992665036674816
19,Bos taurus,96.0,dayhoff,Homo sapiens QfO,13,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k13.index,0.5,268,472.0,28,232.0,0.9054054054054054,0.536,0.6733668341708543
20,Bos taurus,96.0,dayhoff,Homo sapiens QfO,13,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k13.index,0.55,249,474.0,26,251.0,0.9054545454545454,0.498,0.6425806451612903
21,Bos taurus,96.0,dayhoff,Homo sapiens QfO,13,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k13.index,0.6,233,475.0,25,267.0,0.9031007751937985,0.466,0.6147757255936676
22,Bos taurus,96.0,dayhoff,Homo sapiens QfO,14,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k14.index,0.45,261,478.0,22,239.0,0.9222614840989399,0.522,0.6666666666666666
23,Bos taurus,96.0,dayhoff,Homo sapiens QfO,14,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k14.index,0.5,242,481.0,19,258.0,0.9272030651340997,0.484,0.6360052562417872
24,Bos taurus,96.0,dayhoff,Homo sapiens QfO,14,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k14.index,0.55,229,483.0,17,271.0,0.9308943089430894,0.458,0.6139410187667561
25,Bos taurus,96.0,dayhoff,Homo sapiens QfO,14,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k14.index,0.6,207,487.0,13,293.0,0.9409090909090909,0.414,0.5750000000000001
26,Bos taurus,96.0,dayhoff,Homo sapiens QfO,15,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k15.index,0.45,245,486.0,14,255.0,0.9459459459459459,0.49,0.6455862977602108
27,Bos taurus,96.0,dayhoff,Homo sapiens QfO,15,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k15.index,0.5,231,492.0,8,269.0,0.9665271966527197,0.462,0.625169147496617
28,Bos taurus,96.0,dayhoff,Homo sapiens QfO,15,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k15.index,0.55,209,492.0,8,291.0,0.9631336405529954,0.418,0.5829846582984658
29,Bos taurus,96.0,dayhoff,Homo sapiens QfO,15,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k15.index,0.6,163,492.0,8,337.0,0.9532163742690059,0.326,0.48584202682563343
30,Bos taurus,96.0,dayhoff,Homo sapiens QfO,16,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k16.index,0.45,231,492.0,8,269.0,0.9665271966527197,0.462,0.625169147496617
31,Bos taurus,96.0,dayhoff,Homo sapiens QfO,16,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k16.index,0.5,216,492.0,8,284.0,0.9642857142857143,0.432,0.5966850828729282
32,Bos taurus,96.0,dayhoff,Homo sapiens QfO,16,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k16.index,0.55,172,492.0,8,328.0,0.9555555555555556,0.344,0.5058823529411764
33,Bos taurus,96.0,dayhoff,Homo sapiens QfO,16,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k16.index,0.6,158,492.0,8,342.0,0.9518072289156626,0.316,0.4744744744744745
34,Bos taurus,96.0,dayhoff,Homo sapiens QfO,17,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k17.index,0.45,227,492.0,8,273.0,0.9659574468085106,0.454,0.617687074829932
35,Bos taurus,96.0,dayhoff,Homo sapiens QfO,17,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k17.index,0.5,182,492.0,8,318.0,0.9578947368421052,0.364,0.527536231884058
36,Bos taurus,96.0,dayhoff,Homo sapiens QfO,17,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k17.index,0.55,164,492.0,8,336.0,0.9534883720930233,0.328,0.48809523809523814
37,Bos taurus,96.0,dayhoff,Homo sapiens QfO,17,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k17.index,0.6,155,492.0,8,345.0,0.950920245398773,0.31,0.4675716440422323
38,Bos taurus,96.0,dayhoff,Homo sapiens QfO,19,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k19.index,0.5,166,492.0,8,334.0,0.9540229885057471,0.332,0.49258160237388726
39,Bos taurus,96.0,dayhoff,Homo sapiens QfO,21,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k21.index,0.5,160,492.0,8,340.0,0.9523809523809523,0.32,0.4790419161676646
40,Bos taurus,96.0,dayhoff,Homo sapiens QfO,23,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k23.index,0.5,151,496.0,4,349.0,0.9741935483870968,0.302,0.4610687022900763
41,Bos taurus,96.0,dayhoff,Homo sapiens QfO,25,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k25.index,0.5,146,500.0,0,354.0,1.0,0.292,0.45201238390092874
42,Bos taurus,96.0,dayhoff,Homo sapiens QfO,27,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k27.index,0.5,136,500.0,0,364.0,1.0,0.272,0.4276729559748428
43,Bos taurus,96.0,dayhoff,Homo sapiens QfO,29,output_simreads/sencha/index/refHsapiens_QfO_t1e8_dayhoff_k29.index,0.5,127,500.0,0,373.0,1.0,0.254,0.405103668261563
44,Bos taurus,96.0,dayhoff,Swiss Prot,5,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k5.index,0.5,495,181.0,319,5.0,0.6081081081081081,0.99,0.7534246575342466
45,Bos taurus,96.0,dayhoff,Swiss Prot,7,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k7.index,0.5,495,181.0,319,5.0,0.6081081081081081,0.99,0.7534246575342466
46,Bos taurus,96.0,dayhoff,Swiss Prot,9,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k9.index,0.45,494,181.0,319,6.0,0.6076260762607626,0.988,0.7524752475247524
47,Bos taurus,96.0,dayhoff,Swiss Prot,9,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k9.index,0.5,494,182.0,318,6.0,0.6083743842364532,0.988,0.7530487804878049
48,Bos taurus,96.0,dayhoff,Swiss Prot,9,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k9.index,0.55,494,182.0,318,6.0,0.6083743842364532,0.988,0.7530487804878049
49,Bos taurus,96.0,dayhoff,Swiss Prot,9,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k9.index,0.6,492,183.0,317,8.0,0.6081582200247219,0.984,0.751718869365928
50,Bos taurus,96.0,dayhoff,Swiss Prot,10,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k10.index,0.45,493,184.0,316,7.0,0.6093943139678616,0.986,0.7532467532467533
51,Bos taurus,96.0,dayhoff,Swiss Prot,10,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k10.index,0.5,493,194.0,306,7.0,0.6170212765957447,0.986,0.7590454195535028
52,Bos taurus,96.0,dayhoff,Swiss Prot,10,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k10.index,0.55,491,196.0,304,9.0,0.6176100628930817,0.982,0.7583011583011583
53,Bos taurus,96.0,dayhoff,Swiss Prot,10,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k10.index,0.6,489,207.0,293,11.0,0.6253196930946292,0.978,0.7628705148205929
54,Bos taurus,96.0,dayhoff,Swiss Prot,11,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k11.index,0.45,489,229.0,271,11.0,0.6434210526315789,0.978,0.7761904761904762
55,Bos taurus,96.0,dayhoff,Swiss Prot,11,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k11.index,0.5,485,232.0,268,15.0,0.6440903054448871,0.97,0.7741420590582601
56,Bos taurus,96.0,dayhoff,Swiss Prot,11,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k11.index,0.55,483,236.0,264,17.0,0.6465863453815262,0.966,0.7746591820368887
57,Bos taurus,96.0,dayhoff,Swiss Prot,11,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k11.index,0.6,478,269.0,231,22.0,0.6741889985895627,0.956,0.7907361455748552
58,Bos taurus,96.0,dayhoff,Swiss Prot,12,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k12.index,0.45,459,328.0,172,41.0,0.7274167987321711,0.918,0.8116710875331565
59,Bos taurus,96.0,dayhoff,Swiss Prot,12,output_simreads/sencha/index/refsprot_t1e9_dayhoff_k12.index,0.5,448,350.0,150,52.0,0.7491638795986622,0.896,0.8160291438979963
